Incident No.,Inclusion Criteria I,Inclusion Criteria II,Source Incident Detection/Disclosure,Source Incident Detection/Disclosure II,Start Date (Year),Start Date (Month),Start Date (Date),End Date (Year),End Date (Month),End Date (Date),Receiver Category I,Receiver Category II,Receiver Category III,Receiver Category IV,Receiver Category V,Receiver Category VI,Receiver Category VII,Receiver Category VIII,Receiver Category IX,Receiver Category X,Receiver Country I,Receiver Country II,Receiver Country III,Receiver Country IV,Receiver Country V,Receiver Country VI,Receiver Country VII,Receiver Country VIII,Receiver Country IX,Receiver Country X,Receiver Regime Type I,Receiver Regime Type II,Receiver Regime Type III,Initiator Category,Name Initiator,Name Initiator II,Initiator Country I,Initiator Country II,Initiator Country III,Initiator Country IV,Initiator Country V,Initiator Regime Type I,Initiator Regime Type II,Attribution Year,Political/Legal Response Year,Attribution Basis I,Attribution Type I,Attribution Basis II,Attribution Type II,Attribution Basis III,Attribution Type III,Attribution Basis IV,Attribution Type IV,Attribution IT-Security Community (category) I,Attribution IT-Security Community (category) II,Attribution IT-Security Community (country) I,Attribution IT-Security Community (country) II,Country of Origin: IT Attribution I,Country of Origin: IT Attribution II,Temporal Attribution Sequence,Cyber-Conflict Issue I,Cyber-Conflict Issue II,Cyber-Conflict Issue III,Cyber-Conflict Issue IV,Offline-Conflict (Intensity) - HIIK,Offline-Conflict (Issue) - HIIK I,Offline-Conflict (Issue) - HIIK II,Offline-Conflict (Issue) - HIIK III,Offline-Conflict (Issue) - HIIK IV,Zero Day(s),Incident Type I,Incident Type II,Incident Type III,Data Theft,Disruption,Hijacking (accessing and controlling a system),Physical Effects (spatial),Physical Effects (temporal),Unweigthed Cyber Intensity,Target/effect multiplier,Weighted Cyber Intensity,Casualties,Sources,Sources Attribution,Sources Politicization,Incident Name,Description
571,2.1,3,1,na,2014,na,na,2014,na,na,1.3,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2,0,na,CHN,na,na,na,na,3,na,2014,na,0,4,5,3,na,na,na,na,na,na,na,na,na,na,na,1,7,na,na,1,1,7,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://www.usatoday.com/story/tech/2014/11/10/us-postal-service-post-office-hacked/18795289/,https://arstechnica.com/information-technology/2014/11/all-us-postal-service-employees-personal-data-exposed-by-hackers/,https://www.usatoday.com/story/tech/2014/11/10/us-postal-service-post-office-hacked/18795289/,US Postal Breach,"U.S. Postal Service hacked, allegedly by China."
572,1,10,1,2,2014,na,na,2015,6,1,5,na,na,na,na,na,na,na,na,na,EUROPE,RUS,na,na,na,na,na,na,na,na,3,na,na,1,Unit 8200,na,ISR,na,na,na,na,1,na,2015,na,2,5,na,na,na,na,na,na,0,na,0,na,RUS,na,na,7,na,na,na,0,0,na,na,na,2.2,1,3,na,1,0,2,0,0,3,1,3,0,https://resources.infosecinstitute.com/duqu-2-0-the-most-sophisticated-malware-ever-seen/#gref;  https://www.theguardian.com/technology/2015/jun/11/duqu-20-computer-virus-with-traces-of-israeli-code-was-used-to-hack-iran-talks; https://www.nytimes.com/2017/10/10/technology/kaspersky-lab-israel-russia-hacking.html,https://resources.infosecinstitute.com/duqu-2-0-the-most-sophisticated-malware-ever-seen/#gref; https://www.theguardian.com/technology/2015/jun/11/duqu-20-computer-virus-with-traces-of-israeli-code-was-used-to-hack-iran-talks; https://securelist.com/the-mystery-of-duqu-2-0-a-sophisticated-cyberespionage-actor-returns/70504/,na,Duqu 2.0,"Kaspersky, as well as Hotels where the P5 + 1 Nuclear Talks with the Iran took place, got hacked by a Malware called Duqu-2.0, which is assumed to be the work of the Israeli Unit 8200."
573,3,na,1,na,2014,1,na,2015,5,na,1.3,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,0,0,na,RUS,na,na,na,na,3,na,na,na,1,3,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://eu.usatoday.com/story/money/2016/02/26/cyber-hack-gained-access-more-than-700000-irs-accounts/80992822/,https://www.cnet.com/news/russian-hackers-behind-50-million-irs-hack-report-says/,https://eu.usatoday.com/story/money/2016/02/26/cyber-hack-gained-access-more-than-700000-irs-accounts/80992822/,IRS Hack,"Cyberhack got access to over 700,000 IRS accounts. The assumed Russian cyberthieves gained access to taxpayer accounts between January 2014, the launch for the GetTranscriptfunction, and May 2015, the IRS said."
574,2.1,6,1,na,2014,na,na,2014,na,na,5,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2,FSB,Canadian Hacker,RUS,CAN,na,na,na,3,na,2017,2017,1,3,6,7,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://techcrunch.com/2016/09/22/yahoo-confirms-state-sponsored-attacker-stole-personal-data-of-at-least-500-million-users/?_ga=2.215474910.832030079.1550578062-1170144247.1549987749,https://techcrunch.com/2016/09/22/yahoo-confirms-state-sponsored-attacker-stole-personal-data-of-at-least-500-million-users/?_ga=2.215474910.832030079.1550578062-1170144247.1549987749; https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html; https://www.justice.gov/opa/pr/us-charges-russian-fsb-officers-and-their-criminal-conspirators-hacking-yahoo-and-millions,https://techcrunch.com/2017/02/27/yahoo-offers-new-details-on-breaches-to-senate-committee/,Yahoo Hack I,"Yahoo says that the user account information was stolen from its network in late 2014 by what it now believes to be a state-sponsored actor. In 2017, the us indicted Russian agents for the hack."
575,2,4,3,na,2014,1,na,2014,1,na,1.2,1.8,na,na,na,na,na,na,na,na,TUR,na,na,na,na,na,na,na,na,na,2,na,na,3.3,RedHack,na,TUR,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,http://news.softpedia.com/news/RedHack-Hacks-Turkish-Contractors-Association-and-State-Railways-415876.shtml,na,na,RedHack Defacement of Turkish Parliament,"First, the hackers exploited across-site scripting (XSS) vulnerability on the Parliament’s website (tbmm.gov.tr) to send a message to the government"
576,2,4,3,na,2014,1,na,2014,1,na,1.1,3.8,na,na,na,na,na,na,na,na,TUR,na,na,na,na,na,na,na,na,na,2,na,na,3.3,RedHack,na,TUR,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://news.softpedia.com/news/Website-of-Turkey-s-Central-Bank-Disrupted-by-RedHack-417821.shtml,na,na,Redhack Disturbance of various turkish government institutions,Website of Turkey’s CentralBank and ministry of family and social policy Disrupted by RedHack
577,2,4,3,na,2014,1,na,2014,1,na,1.6,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/anonymous-takes-down-fullerton-police-website-against-arrest/,na,na,OP Fullerton,#Op Fullerton: Anonymous takes down Fullerton police website against protesters arrest and Kelly Thomas tribute
578,1,10,2,na,2014,na,na,2018,na,na,5,na,na,na,na,na,na,na,na,na,BRA,CAN,FIN,FRANCE,DEU,IND,JPN,SWE,UAE,USA,1,na,na,1,Stone Panda/APT 10/menupass,na,CHN,na,na,na,na,3,na,2017,2018,2,5,6,7,na,na,na,na,1,na,CHN,na,USA,na,1,0,na,na,na,0,0,na,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://www.recordedfuture.com/APT 10-cyberespionage-campaign/https://www.msspalert.com/cybersecurity-breaches-and-attacks/APT 10-attacked-msp-visma/  https://baesystemsai.blogspot.com/2017/04/APT 10-operation-cloud-hopper_3.html,https://www.justice.gov/opa/pr/two-chinese-hackers-associated-ministry-state-security-charged-global-computer-intrusion,na,MSP Theft Campaign aka Operation Cloud Hopper,"The Chinese hackergroup APT 10 hacked the systems of the Norwegian company Visma (MSP)and various US-companies to steal important information about the companies clients. The hackergroup is linked to a Chinese intelligence agency. The attack is probably part of the operation""Cloud Hopper""."
579,2.1,6,1,na,2014,na,na,2018,na,na,5,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2,MSS,na,CHN,na,na,na,na,3,na,2018,na,2,3,6,4,na,na,na,na,2,na,CHN,na,USA,na,0,7,na,na,na,1,1,7,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.wired.com/story/marriott-hack-china-2014-opm-anthem/,https://www.nytimes.com/2018/12/11/us/politics/trump-china-trade.html,https://www.reuters.com/article/us-marriott-intnl-cyber-china-exclusive/exclusive-clues-in-marriott-hack-implicate-china-sources-idUSKBN1O504D,Marriott Hack,"The cyberattack on the Marriott hotel chain that collected personal details of roughly 500 million guests was part of a Chinese intelligence-gathering effort that also hacked health insurers and the security clearance files of millions more Americans, according to two people briefed on the investigation."
580,2.1,10,2,na,2014,na,na,2016,na,na,1.1,na,na,na,na,na,na,na,na,na,ROU,IRN,IND,OTHERS,na,na,na,na,na,na,1,3,na,2,Turla/Waterbug/Venomous Bear/Snake/Uroburos,na,RUS,na,na,na,na,3,na,2017,na,2,5,na,na,na,na,na,na,2.1,na,RUS,na,ROU,na,na,7,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://download.bitdefender.com/resources/media/materials/white-papers/en/Bitdefender-Whitepaper-PAC-A4-en_EN1.pdf,https://labs.bitdefender.com/2017/09/three-new-pacifier-apt-components-point-to-russian-linked-turla-group/,na,Pacifier APT aka Turla,"Bitdefender detected an ongoing cyber-espionage campaign against Romanian institutions and other foreign targets. The attacks started in 2014, with the latest reported occurrences in May of 2016. Later on, the campaign has been tied to the Russian state-sponsored group Turla."
581,2.1,10,2,na,2014,na,na,2017,na,na,1.1,3.9,5,8,na,na,na,na,na,na,USA,WESTERNEU,SCS,na,na,na,na,na,na,na,1,na,na,2.1,Leviathan/APT 40/Temp.Periscope,na,CHN,na,na,na,na,3,na,2017,na,2,5,na,na,na,na,na,na,2.1,na,CHN,na,USA,na,na,7,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.proofpoint.com/us/threat-insight/post/leviathan-espionage-actor-spearphishes-maritime-and-defense-targets,https://www.proofpoint.com/us/threat-insight/post/leviathan-espionage-actor-spearphishes-maritime-and-defense-targets,na,Leviathan aka APT 40,"Espionage efforts against US, western europe and south Chinese sea located targets, especially in the naval industry sector, but also research institutions and government entities. APT 40 is allegedly a Chinese state-proxy, according to Fire eye and the mysterious group Intrustion Truth."
582,1,4,0,na,2014,na,na,2016,na,na,1.7,na,na,na,na,na,na,na,na,na,RUS,na,na,na,na,na,na,na,na,na,3,na,na,1,AVID,na,NLD,na,na,na,na,1,na,2018,na,3,4,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://www.volkskrant.nl/wetenschap/dutch-agencies-provide-crucial-intel-about-russia-s-interference-in-us-elections~b4f8111b/?referer=https%3A%2F%2Fwww.google.com%2F,https://www.volkskrant.nl/wetenschap/dutch-agencies-provide-crucial-intel-about-russia-s-interference-in-us-elections~b4f8111b/?referer=https%3A%2F%2Fwww.google.com%2F; https://www.irishtimes.com/news/world/europe/the-spies-who-beat-russian-hackers-at-their-own-game-1.3455014,na,Dutch agency hacked CozyBear,"Hackers from the Dutch intelligence service AIVD have provided the FBI with crucial information about Russian interference with the American elections. For years, AIVD had access to the infamous Russian hacker group CozyBear.That's what de Volkskrant and Nieuwsuur have uncovered in their investigation."
583,4,na,2,na,2014,na,na,2018,na,na,1.1,na,na,na,na,na,na,na,na,na,CASIA,na,na,na,na,na,na,na,na,na,0,na,na,0,0,na,0,na,na,na,na,0,na,na,na,2,5,na,na,na,na,na,na,0,na,0,na,RUS,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.heise.de/security/meldung/Nach-fuenf-Jahren-unter-dem-Radar-Spionage-Malware-TajMahal-aufgetaucht-4370966.html,https://securelist.com/project-tajmahal/90240/,na,TajMahal,"In the fall of 2018, Kaspersky detected an attack on a diplomatic organization belonging to a Central Asian country. The spyware called Taj Mahal has been in operation for the past five years and allows for all kinds of attack scenarios using various tools. The framework cannot be linked to any known threatactor.
"
584,2.1,3,1,na,2014,na,na,2016,na,na,3.9,na,na,na,na,na,na,na,na,na,CHE,na,na,na,na,na,na,na,na,na,1,na,na,2,Turla/Waterbug/Venomous Bear/Snake/Uroburos,na,RUS,na,na,na,na,3,na,2016,na,0,2,6,5,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://www.melani.admin.ch/melani/en/home/dokumentation/reports/technical-reports/technical-report_apt_case_ruag.html,"https://www.bankinfosecurity.com/swiss-government-ruag-hack-ties-to-turla-malware-a-9128
",https://www.swissinfo.ch/eng/parliament-committee_defence-ministry-criticised-over-cyberattack/44106062,RUAG-Hack,"The Swiss government says that hackers used ""Turla"" malware to steal data from a state-owned defense firm RUAG, based in Bern, since 2014. In addition to the defense sector, state-owned RUAG operates in aerospace, aviation and other sectors. Where as the Swiss report does not attribute the hack to a specific actor, other actors have analyzed the used malware."
585,2,10,3,na,2014,na,na,2015,na,na,1,5,9,na,na,na,na,na,na,na,RUS,na,na,na,na,na,na,na,na,na,3,na,na,3.5,Cyber Caliphate,na,ISIS,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,3.3,na,0,na,RUS,na,na,0,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://news.softpedia.com/news/Cyber-Caliphate-Hackers-Deface-600-Russian-Internet-Resources-476718.shtml; https://thehill.com/policy/cybersecurity/237031-isis-hackers-have-hit-hundreds-of-russian-websites,https://news.softpedia.com/news/Cyber-Caliphate-Hackers-Deface-600-Russian-Internet-Resources-476718.shtml,na,ISIS vs. Russia,"The hacking division associated with ISIS (Islamic State of Iraq and Syria) extremist rebels CyberCaliphate has been hammering Russian online resources since autumn 2014, posting messages related to their cause."
586,2.1,4,2,na,2014,na,na,2016,na,na,1.5,na,na,na,na,na,na,na,na,na,UKR,na,na,na,na,na,na,na,na,na,2,na,na,2,Sofacy/APT 28/Fancy Bear,na,RUS,na,na,na,na,3,na,2016,na,2,5,na,na,na,na,na,na,2,na,RUS,na,USA,na,na,1,9,na,na,5,1,6,9,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://www.reuters.com/article/us-cyber-ukraine-idUSKBN14B0CU,https://www.crowdstrike.com/blog/danger-close-fancy-bear-tracking-ukrainian-field-artillery-units/,na,Fancy Bear Ukraine Military App,"Fancy Bear which is linked to the Russian government and high-profile cyberattacks against Democrats during the U.S. presidential election likely used a malware implant on Android devices to track and target Ukrainian artillery units from late 2014 through 2016, according to a report by Crowd strike."
587,4,na,2,na,2014,na,na,2017,na,na,1.1,1.5,1.7,1.11,3.1,3.5,5,na,na,na,ECU,VEN,PER,ARG,COL,KOR,USA,BOL,GBR,CAN,1,2,3,0,El Machete,na,BRA,na,na,na,na,1,na,na,na,2,5,na,na,na,na,na,na,0,na,BRA,na,USA,RUS,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://threatvector.cylance.com/en_us/home/el-machete-malware-attacks-cut-through-latam.html; https://securityaffairs.co/wordpress/57369/apt/machete-espionage-campaign.html,https://securityaffairs.co/wordpress/57369/apt/machete-espionage-campaign.html,na,ELMachete-PartII,"Unidentified hackers, attributed to be of Brazilian origin attacked various high-profile targets - mostly in Latin America - with phishing attacks. Unlike the first phase of ElMachete, their targets also were Energy system providers."
588,2.1,6,4,na,2014,na,na,2015,na,na,5,na,na,na,na,na,na,na,na,na,DEU,na,na,na,na,na,na,na,na,na,1,na,na,2.1,APT 3/Gothic Panda/Buckeye,Boyusec,CHN,na,na,na,na,3,na,2017,2017,5,7,na,na,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.justice.gov/opa/pr/us-charges-three-chinese-hackers-who-work-internet-security-firm-hacking-three-corporations; https://www.justice.gov/opa/press-release/file/1013866/download,https://intrusiontruth.wordpress.com/2017/05/09/APT 3-is-boyusec-a-chinese-intelligence-contractor/; https://freebeacon.com/national-security/pentagon-links-chinese-cyber-security-firm-beijing-spy-service/https://community.broadcom.com/symantecenterprise/communities/community-home/librarydocuments/viewdocument?DocumentKey=92a4528c-2bdb-498f-85c8-4273bfdc66aa&CommunityKey=1ecf5f55-9545-44d6-b0f4-4e4a7f5f5e68&tab=librarydocuments,na,APT 3 vs. Siemens,Hackers attributed to be part of APT 3 hacked into the American networks of the German company Siemens
589,2,na,2,na,2014,na,na,2016,na,na,5,na,na,na,na,na,na,na,na,na,DEU,CHN,USA,PHL,VNM,na,na,na,na,na,1,3,na,2,APT32/Ocean Lotus/Sea Lotus,na,VNM,na,na,na,na,3,na,2014,na,2,5,5,5,na,na,na,na,2,na,VNM,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html,https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html; https://www.eff.org/deeplinks/2014/01/vietnamese-malware-gets-personal,na,APT32/Ocean Lotus Group,"Espionage-Hacks against  private companies in the US, China, Germany, the Philippines and Vietnam."
590,10,na,2,na,2014,na,na,2020,na,na,1.1,1.5,3.8,na,na,na,na,na,na,na,TWN,PHL,na,na,na,na,na,na,na,na,1,2,na,0,Tropic Trooper/Key Boy,na,0,na,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,0,na,JPN,na,na,7,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.zdnet.com/article/hackers-target-the-air-gapped-networks-of-the-taiwanese-and-philippine-military/; https://documents.trendmicro.com/assets/Tech-Brief-Tropic-Trooper-s-Back-USBferry-Attack-Targets-Air-gapped-Environments.pdf,na,na,Bridging the AirGap with USBFerry,"An APT, likely of Chinese Origin developed malware that was specifically designed to access airgaped networks and used it against taiwanese and phillipine military networks"
591,2.1,na,2,na,2014,na,na,2020,na,na,4.7,4.8,na,na,na,na,na,na,na,na,IRN,AZE,na,na,na,na,na,na,na,na,2,3,na,2,0,na,IRN,na,na,na,na,3,na,2020,na,2,5,na,na,na,na,na,na,2,na,IRN,na,ISR,na,na,1,2,na,na,3,1,2,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://research.checkpoint.com/2020/rampant-kitten-an-iranian-espionage-campaign/,na,na,Rampant Kitten,A new threatactor-Rampant Kitten-was identified with an longterm espionage campaign against iranian regime critics
592,2.1,na,1,na,2014,na,na,2014,na,na,3.4,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2,APT 18/Dynamite Panda/Wekby,na,CHN,na,na,na,na,3,na,2014,na,0,2,2,3,na,na,na,na,2,na,CHN,na,USA,na,na,1,7,na,na,2,1,7,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://threatpost.com/APT -gang-branches-out-to-medical-espionage-in-community-health-breach/107828/; https://www.venafi.com/blog/infographic-how-an-attack-by-a-cyber-espionage-operator-bypassed-security-controls,https://www.venafi.com/blog/infographic-how-an-attack-by-a-cyber-espionage-operator-bypassed-security-controls; https://www.pri.org/stories/2014-08-21/even-your-medical-records-arent-safe-chinese-group-hacks-hospitals-patienthttps://threatpost.com/APT -gang-branches-out-to-medical-espionage-in-community-health-breach/107828/,na,Community Health Systems Breach,"Dynamite Panda breached the US-American health provider Community Health, and exfiltrated 4.5 Millions  of confidential patient data. The attribution of Dynamite Panda is at that point unclear ,some seeing them as cyber-criminals, others seeing the operation as an independent action of a state-sponsored operator without the backing of their superiors."
593,10,na,2,na,2014,na,na,2014,na,na,1,1.1,1.3,1.5,3.1,3.6,na,na,na,na,USA,AUS,DEU,UKR,BEL,FRA,ESP,HUN,NLD,na,1,na,na,0,Miniduke,na,0,na,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,0,na,RUS,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://securelist.com/miniduke-is-back-nemesis-gemina-and-the-botgen-studio/64107/,na,na,Nemesis Gemina,"The APT Miniduke continued their campaign, broadening the focus to further countries and new sectors, starting data-theft attacks against governments, militaries and energy companies"
594,2.1,10,2,na,2014,na,na,2018,na,na,1.1,1.5,3.9,4.7,na,na,na,na,na,na,KOR,PRK,na,na,na,na,na,na,na,na,1,3,na,2,Reaper/APT 37,Group123,PRK,na,na,na,na,3,na,2018,na,2,5,na,na,na,na,na,na,2,na,PRK,na,USA,na,na,1,4,7,na,2,1,4,7,na,2.1,1,3,na,2,0,1,0,0,3,1,3,0,https://www2.fireeye.com/rs/848-DID-242/images/rpt_APT37.pdf,https://www2.fireeye.com/rs/848-DID-242/images/rpt_APT37.pdf,na,Reaper/APT37 vs. South Korean Targets,"APT37 focuses on targeting the public and private sectors primarily in South Korea, but also North Korean Dissidents with Espionage. Wiper Malware was found,but at the time of writing not executed."
595,2.1,na,5,na,2014,na,na,2016,na,na,3.1,3.9,5,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2,MSS supported Hackers,na,CHN,na,na,na,na,3,na,2020,2020,6,7,na,na,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,2,1,7,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://www.justice.gov/opa/press-release/file/1295981/download,na,na,MSS 2020 Indictment Case 2015,"MSS supported hackers have stolen sensitive data by different companies and research entities in the US, Europe and Korea in 2015, according to a 2020 indictment."
596,2,4,3,na,2014,1,8,2014,1,8,1.1,7,na,na,na,na,na,na,na,na,NAM,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,1.1,2,na,1,1,0,0,0,2,1,2,0,http://news.softpedia.com/news/Hackers-Launch-DDOS-Attack-on-Namibian-Government-Portal-in-OpFunKill-414769.shtml,na,na,OP Fun Kill,"Anonymous hackers launched Op Fun Kill, a campaign that aims to protest against the killing of animals. The operation was initiated after Dallas Safari Club announced that’s it was auctioning the chance to kill a black rhino in Namibia."
597,2,4,3,na,2014,1,16,2014,1,16,1.1,na,na,na,na,na,na,na,na,na,SAU,na,na,na,na,na,na,na,na,na,3,na,na,2.1,Syrian Electronic Army,na,SYR,na,na,na,na,3,na,2014,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://news.softpedia.com/news/16-Saudi-Arabian-Government-Websites-Hacked-by-Syrian-Electronic-Army-417751.shtml,https://www.nytimes.com/2013/05/18/technology/financial-times-site-is-hacked.html?pagewanted=all&_r=0; https://www.fireeye.com/blog/threat-research/2013/07/syrian-electronic-army-hacks-major-communications-websites.html,na,SEA vs. Saudi Websites,16 Saudi Arabian Government Websites Hacked by Syrian ElectronicArmy
598,4,na,0,na,2014,1,24,2014,1,24,1.4,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,0,0,na,0,na,na,na,na,0,na,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.reuters.com/article/us-usa-courts-hack/u-s-court-system-targeted-in-cyber-attack-report-idUSBREA0O03W20140125; https://news.softpedia.com/news/Websites-of-the-US-Federal-Court-System-Disrupted-by-Cyberattacks-420595.shtml,na,na,Block of Court System,"Unidentified hackers temporarily blocked access to the federal court system’s public website on Friday, preventing lawyers from filing legal documents"
599,2,4,3,na,2014,1,26,2014,1,26,1.1,na,na,na,na,na,na,na,na,na,NGA,na,na,na,na,na,na,na,na,na,2,na,na,3.3,Nigerian Cyber Army,na,NGA,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://news.softpedia.com/news/Website-of-Nigeria-s-Ministry-of-Police-Affairs-Hacked-and-Defaced-422104.shtml,na,na,Nigerian CyberArmy attack on the Nigerian Ministry of Police Affairs,The official website of Nigeria’s Ministry of Police Affairs (police affairs .gov.ng) has been breached and defaced by hackers of the Nigerian CyberArmy
600,2,4,3,na,2014,2,na,2014,2,na,1.3,na,na,na,na,na,na,na,na,na,IND,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Pakistan Haxor Crew,na,PAK,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://news.softpedia.com/news/Indian-Public-Health-Engineering-Department-Targeted-by-Pakistani-Hackers-423623.shtml,na,na,Pakistan Haxor Crew vs. West Bengal Area,Indian Public Health Engineering Department Targeted by Pakistani Hackers
601,1,6,5,na,2014,2,na,2014,2,na,5,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,IRN,na,na,na,na,3,na,2015,na,0,0,5,3,6,6,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,2,0,0,0,2,1,2,0,https://news.softpedia.com/news/Las-Vegas-Casino-Hacked-By-Iranians-in-2014-Bloomberg-474440.shtml,https://news.softpedia.com/news/Las-Vegas-Casino-Hacked-By-Iranians-in-2014-Bloomberg-474440.shtml; https://www.bloomberg.com/news/articles/2014-12-11/iranian-hackers-hit-sheldon-adelsons-sands-casino-in-las-vegas?utm_source=newsletter&utm_medium=email&utm_campaign=newsletter_axioscodebook&stream=technology#p2; https://money.cnn.com/2015/02/27/technology/security/iran-hack-casino/index.html,https://news.softpedia.com/news/Las-Vegas-Casino-Hacked-By-Iranians-in-2014-Bloomberg-474440.shtml,Sands-Casino-Hack,"Las Vegas Casino Hacked by Iranians in 2014 , according to intelligence chief Clapper in 2015."
602,2,4,3,na,2014,2,na,2014,2,na,1.1,1.6,na,na,na,na,na,na,na,na,TUR,na,na,na,na,na,na,na,na,na,2,na,na,3.3,RedHack,na,TUR,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,1.1,2,na,1,1,0,0,0,2,1,2,0,http://news.softpedia.com/news/RedHack-Begins-Hack-Attacks-in-Protest-Against-Turkey-s-New-Internet-Law-425418.shtml,na,na,RedHack Police Dataleak,RedHack leaked data of police men and hacked several websites of different organizations including gov-websites to protest against a new internetlaw
603,2,4,3,na,2014,2,12,2014,2,12,1.1,1.6,na,na,na,na,na,na,na,na,GBR,na,na,na,na,na,na,na,na,na,1,na,na,3.3,0,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://news.softpedia.com/news/Website-of-British-Ministry-of-Justice-Disrupted-by-DDOS-Attack-426652.shtml,na,na,DDOS vs. British Ministry of Justice,Website of British Ministry of Justice and GCHQ disrupted by DDOS Attack
